GEOID,coords,duration,geometry
17031843200,"[41.84745948293451, -87.66337220326558]",20.0,"POLYGON ((-87.66186739999999 41.8596709, -87.655135 41.8577852, -87.6481788 41.8539284, -87.658693 41.8478629, -87.66146529999999 41.8464786, -87.6601592 41.84464759999999, -87.66155859999999 41.8438507, -87.6657498 41.8450128, -87.66830590000001 41.84534010000001, -87.6707864 41.8474592, -87.67585079999999 41.8531099, -87.6703792 41.8566455, -87.66186739999999 41.8596709))"
17031843400,"[41.849327356224265, -87.73202175325522]",20.0,"POLYGON ((-87.73116659999999 41.8624048, -87.72494329999999 41.8588523, -87.7175608 41.8550686, -87.7195146 41.8493298, -87.722267 41.844658, -87.72533399999999 41.84158, -87.7319059 41.8377888, -87.7401708 41.839415, -87.748311 41.843746, -87.74677559999999 41.8498229, -87.7439996 41.854641, -87.7399592 41.8586488, -87.73116659999999 41.8624048))"
17031842600,"[41.81621859537091, -87.65169495991745]",20.0,"POLYGON ((-87.6509303 41.82882559999999, -87.64354109999999 41.8253097, -87.6393609 41.82055, -87.63940810000001 41.8165196, -87.6400728 41.8119227, -87.64366799999999 41.806419, -87.651404 41.8062929, -87.659195 41.80698599999999, -87.66566450000001 41.8104161, -87.671221 41.8158114, -87.66244 41.82205099999999, -87.6593738 41.82564199999999, -87.6509303 41.82882559999999))"
17031301803,"[41.83954972050366, -87.72787083373707]",20.0,"POLYGON ((-87.7207442 41.8487332, -87.7158931 41.8447114, -87.71255499999999 41.839325, -87.7156954 41.8343316, -87.71940719999999 41.8328177, -87.7277311 41.8304125, -87.73278789999999 41.8331502, -87.7395131 41.8366041, -87.738624 41.838459, -87.741041 41.844843, -87.734095 41.848733, -87.727902 41.851883, -87.7207442 41.8487332))"
17031063302,"[41.93476467345395, -87.63985399663771]",20.0,"POLYGON ((-87.6379254 41.9407304, -87.6297721 41.9228663, -87.6297721 41.9228663, -87.6398684 41.9227919, -87.6466265 41.9256752, -87.652174 41.929621, -87.6562314 41.9346697, -87.654404 41.9407046, -87.65836419999999 41.9435601, -87.65836419999999 41.9435601, -87.64805059999999 41.9451593, -87.6379254 41.9407304))"
17031220701,"[41.92615539149631, -87.72156506290543]",20.0,"POLYGON ((-87.7213804 41.938031, -87.713528 41.936494, -87.709532 41.931524, -87.70521529999999 41.926345, -87.7090532 41.921034, -87.7144239 41.917025, -87.72155119999999 41.9138698, -87.72847890000001 41.9172697, -87.7337198 41.9208728, -87.738517 41.926657, -87.73357560000001 41.9305253, -87.7286378 41.93568399999999, -87.7213804 41.938031))"
17031660301,"[41.779954049284456, -87.69828723443064]",20.0,"POLYGON ((-87.6909508 41.7891431, -87.68598329999999 41.7852764, -87.6821322 41.7799945, -87.68567519999999 41.7747054, -87.6907298 41.77064559999999, -87.70320359999999 41.77111, -87.70320359999999 41.77111, -87.71032609999999 41.7752079, -87.71449679999999 41.779485, -87.7104688 41.7854159, -87.7055805 41.7890858, -87.69845869999999 41.7950406, -87.6909508 41.7891431))"
17031660302,"[41.78359568685421, -87.69839262564432]",20.0,"POLYGON ((-87.691042 41.7924844, -87.68669 41.788884, -87.68311790000001 41.783247, -87.6863299 41.7783698, -87.6904502 41.7745681, -87.70320359999999 41.77111, -87.705456 41.7752756, -87.71055899999999 41.778571, -87.7146066 41.7835369, -87.71158799999999 41.788582, -87.7056671 41.7927476, -87.6991132 41.79874239999999, -87.691042 41.7924844))"
17031252201,"[41.87669586942388, -87.75210511712541]",20.0,"POLYGON ((-87.752065 41.887369, -87.74495999999999 41.8858268, -87.73975999999999 41.881516, -87.7316136 41.8772008, -87.73896769999999 41.8714939, -87.7448129 41.8680036, -87.75114579999999 41.8694606, -87.758989 41.8656881, -87.76965869999999 41.8770148, -87.7638659 41.881997, -87.7595487 41.8859084, -87.752065 41.887369))"
17031730202,"[41.72643003715611, -87.64854250966826]",20.0,"POLYGON ((-87.64028789999999 41.73690879999999, -87.64114699999999 41.7295777, -87.6406734 41.72649819999999, -87.641429 41.7233032, -87.64471109999999 41.7212444, -87.64932759999999 41.7213018, -87.65656299999999 41.715632, -87.6628793 41.7207785, -87.6551073 41.72988350000001, -87.6517353 41.7317003, -87.64028789999999 41.73690879999999))"
